Assessment_ID,Student_Key,Item_Key,Response
1,1,1,1
2,1,2,1
3,1,3,3
4,1,4,3
5,1,5,1
6,1,6,3
7,1,7,2
8,1,8,1
9,1,9,1
10,1,10,1
11,1,11,1
12,1,12,3
13,1,13,1
14,1,14,1
15,1,15,2
16,1,16,2
17,1,17,2
18,1,18,3
19,1,19,2
20,1,20,3
21,1,21,3
22,1,22,3
23,1,23,3
24,1,24,1
25,1,25,3
26,1,26,2
27,1,27,3
28,1,28,2
29,1,29,2
30,1,30,1
31,1,31,1
32,1,32,1
33,1,33,4
34,1,34,3
35,1,35,2
36,1,36,3
37,1,37,3
38,1,38,4
39,1,39,2
40,1,40,2
41,1,41,2
42,1,42,2
43,1,43,2
44,1,44,3
45,1,45,2
46,1,46,3
47,1,47,2
48,1,48,3
49,1,49,2
50,1,50,2
51,1,51,4
52,1,52,3
53,1,53,4
54,1,54,2
55,1,55,3
56,1,56,2
57,1,57,2
58,1,58,4
59,1,59,3
60,1,60,3
61,1,61,2
62,1,62,3
63,1,63,2
64,1,64,2
65,1,65,4
66,1,66,2
67,1,67,4
68,1,68,2
69,1,69,4
70,1,70,2
71,1,71,2
72,1,72,2
73,1,73,4
74,1,74,3
75,1,75,3
76,1,76,2
77,1,77,3
78,1,78,3
79,1,79,3
80,1,80,3
81,1,81,2
82,1,82,4
83,1,83,3
84,1,84,3
85,1,85,3
86,1,86,2
87,1,87,4
88,1,88,3
89,1,89,2
90,1,90,4
91,1,91,3
92,1,92,3
93,1,93,4
94,1,94,3
95,2,1,3
96,2,2,1
97,2,3,3
98,2,4,3
99,2,5,3
100,2,6,1
101,2,7,2
102,2,8,1
103,2,9,3
104,2,10,1
105,2,11,3
106,2,12,3
107,2,13,2
108,2,14,3
109,2,15,2
110,2,16,2
111,2,17,1
112,2,18,3
113,2,19,1
114,2,20,2
115,2,21,2
116,2,22,3
117,2,23,2
118,2,24,2
119,2,25,2
120,2,26,2
121,2,27,2
122,2,28,1
123,2,29,2
124,2,30,2
125,2,31,1
126,2,32,3
127,2,33,4
128,2,34,2
129,2,35,4
130,2,36,3
131,2,37,3
132,2,38,4
133,2,39,2
134,2,40,2
135,2,41,2
136,2,42,2
137,2,43,4
138,2,44,2
139,2,45,3
